player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.5,1.01,337,1,4,0.7,6
5670,Bijan Robinson,RB,ATL,2.1,1.02,177,1,4,0.7,11
5714,Puka Nacua,WR,LAR,2.8,1.03,43,1,3,0.6,11
5177,Ja'Marr Chase,WR,CIN,4.1,1.04,294,1,7,0.9,6
5671,Jaxon Smith-Njigba,WR,SEA,5.3,1.05,144,2,8,1.2,11
4864,Jonathan Taylor,RB,IND,5.8,1.06,276,3,10,1.3,13
2434,Christian McCaffrey,RB,SF,6.6,1.07,245,3,11,1.6,8
5182,Amon-Ra St. Brown,WR,DET,7.8,1.08,254,3,12,1.6,6
5574,Drake London,WR,ATL,9.5,1.09,48,5,13,1.6,11
2350,Derrick Henry,RB,BAL,9.8,1.10,99,5,13,1.6,13
5683,De'Von Achane,RB,MIA,10.9,1.11,114,6,15,1.7,6
5652,James Cook III,RB,BUF,12.1,1.12,452,5,20,2.7,7
5696,Rashee Rice,WR,KC,12.2,1.12,37,10,16,1.4,5
4869,CeeDee Lamb,WR,DAL,12.4,1.12,208,6,18,2.4,14
6500,Ashton Jeanty,RB,LV,14.3,1.14,202,6,24,2.8,13
4876,Justin Jefferson,WR,MIN,15.4,2.01,252,8,21,2.5,6
5706,Chase Brown,RB,CIN,16.3,2.02,253,9,22,2.6,6
2860,Saquon Barkley,RB,PHI,18.2,2.04,425,9,29,3.2,10
3247,A.J. Brown,WR,NE,19.2,2.05,140,12,25,2.6,11
5576,George Pickens,WR,DAL,19.6,2.06,67,14,27,2.2,14
6538,Omarion Hampton,RB,LAC,21.9,2.08,494,11,32,4.1,7
3255,Josh Jacobs,RB,GB,22.0,2.08,90,16,29,2.5,11
2885,Josh Allen,QB,BUF,22.8,2.09,166,5,31,6.7,7
5544,Chris Olave,WR,NO,23.1,2.09,78,17,29,2.3,8
5207,Nico Collins,WR,HOU,23.6,2.10,171,16,31,2.7,8
5675,Zay Flowers,WR,BAL,25.5,2.12,66,19,32,2.3,13
5503,Breece Hall,RB,NYJ,26.1,2.12,54,20,34,3.2,13
5625,Kenneth Walker,RB,KC,26.9,2.13,520,15,37,4.3,5
6769,Jeremiyah Love,RB,ARI,28.2,2.14,84,17,36,4.1,14
5548,Garrett Wilson,WR,NYJ,30.9,3.03,51,25,39,3.1,13
4883,DeVonta Smith,WR,PHI,31.3,3.03,203,22,44,3.5,10
6183,Malik Nabers,WR,NYG,31.5,3.03,281,20,44,4.3,8
6576,Emeka Egbuka,WR,TB,32.0,3.04,264,24,41,3.4,10
5623,Kyren Williams,RB,LAR,32.0,3.04,221,22,40,3.8,11
6509,Cam Skattebo,RB,NYG,33.5,3.06,106,23,42,4.0,8
5185,Javonte Williams,RB,DAL,35.8,3.08,218,25,45,4.0,14
6561,Tetairoa McMillan,WR,CAR,36.6,3.09,144,27,47,3.4,5
4870,Tee Higgins,WR,CIN,38.1,3.10,162,27,53,4.0,6
2125,Davante Adams,WR,LAR,39.7,3.12,133,30,56,4.0,11
4863,Travis Etienne Jr.,RB,NO,40.1,3.12,85,31,51,4.2,8
5643,Jameson Williams,WR,DET,41.5,3.14,71,33,50,3.2,6
3449,Terry McLaurin,WR,WAS,42.4,3.14,168,35,56,3.5,7
