player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.5,1.01,413,1,3,0.7,6
5670,Bijan Robinson,RB,ATL,2.2,1.02,224,1,3,0.7,11
5714,Puka Nacua,WR,LAR,3.1,1.03,47,2,5,0.5,11
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,407,1,7,1.0,6
5671,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,183,2,9,1.3,11
4864,Jonathan Taylor,RB,IND,6.0,1.06,388,1,11,1.6,13
2434,Christian McCaffrey,RB,SF,6.7,1.07,259,2,11,1.6,8
5182,Amon-Ra St. Brown,WR,DET,7.9,1.08,348,4,15,1.5,6
5652,James Cook III,RB,BUF,9.4,1.09,436,4,15,1.8,7
2350,Derrick Henry,RB,BAL,10.0,1.10,143,6,13,1.3,13
5683,De'Von Achane,RB,MIA,11.6,1.12,202,6,17,1.9,6
5574,Drake London,WR,ATL,12.1,1.12,59,9,15,1.4,11
4869,CeeDee Lamb,WR,DAL,12.5,2.01,257,7,18,2.2,14
4876,Justin Jefferson,WR,MIN,14.2,2.02,317,7,21,2.6,6
6500,Ashton Jeanty,RB,LV,14.9,2.03,400,6,22,3.2,13
5706,Chase Brown,RB,CIN,15.3,2.03,475,7,22,3.0,6
5696,Rashee Rice,WR,KC,15.8,2.04,50,11,22,2.3,5
2860,Saquon Barkley,RB,PHI,17.0,2.05,549,9,24,2.8,10
5576,George Pickens,WR,DAL,19.2,2.07,107,13,29,2.7,14
3247,A.J. Brown,WR,NE,19.7,2.08,244,12,28,2.8,11
5625,Kenneth Walker,RB,KC,21.8,2.10,534,12,30,3.6,5
5207,Nico Collins,WR,HOU,21.9,2.10,164,16,29,2.2,8
6538,Omarion Hampton,RB,LAC,23.5,2.11,560,13,33,3.7,7
5544,Chris Olave,WR,NO,24.0,2.12,113,17,31,2.7,8
5675,Zay Flowers,WR,BAL,25.1,3.01,73,20,31,2.5,13
3255,Josh Jacobs,RB,GB,25.3,3.01,138,15,33,3.9,11
5623,Kyren Williams,RB,LAR,26.6,3.03,240,17,36,3.3,11
6183,Malik Nabers,WR,NYG,28.3,3.04,362,19,38,3.4,8
6769,Jeremiyah Love,RB,ARI,29.9,3.06,191,21,43,3.2,14
5548,Garrett Wilson,WR,NYJ,31.7,3.08,107,25,44,3.4,13
4883,DeVonta Smith,WR,PHI,32.2,3.08,381,23,43,3.3,10
6561,Tetairoa McMillan,WR,CAR,32.5,3.08,109,24,41,3.4,5
2885,Josh Allen,QB,BUF,33.2,3.09,350,14,46,7.0,7
5185,Javonte Williams,RB,DAL,33.2,3.09,365,23,42,3.7,14
6509,Cam Skattebo,RB,NYG,33.6,3.10,154,24,42,3.5,8
5503,Breece Hall,RB,NYJ,33.9,3.10,138,17,51,6.2,13
6576,Emeka Egbuka,WR,TB,35.0,3.11,351,25,53,4.3,10
4870,Tee Higgins,WR,CIN,37.2,4.01,175,27,47,3.8,6
5656,Trey McBride,TE,ARI,38.7,4.03,283,22,49,6.1,14
2125,Davante Adams,WR,LAR,38.8,4.03,136,28,48,4.0,11
4863,Travis Etienne Jr.,RB,NO,40.4,4.04,185,29,54,4.2,8
5643,Jameson Williams,WR,DET,41.1,4.05,87,31,53,3.7,6
6281,Ladd McConkey,WR,LAC,41.1,4.05,419,31,54,3.7,7
4862,D'Andre Swift,RB,CHI,42.6,4.07,272,30,53,4.8,10
6178,Brock Bowers,TE,LV,43.4,4.07,530,22,60,8.1,13
6190,Bucky Irving,RB,TB,44.4,4.08,121,29,55,5.9,10
3449,Terry McLaurin,WR,WAS,45.4,4.09,171,33,59,4.5,7
6194,Rome Odunze,WR,CHI,46.0,4.10,190,33,60,4.9,10
5178,Jaylen Waddle,WR,DEN,49.4,5.01,364,34,65,5.9,10
6531,Quinshon Judkins,RB,CLE,50.5,5.02,232,36,63,5.7,11
2876,DJ Moore,WR,BUF,50.7,5.03,488,33,72,6.7,7
6187,Drake Maye,QB,NE,52.1,5.04,124,36,67,6.7,11
6513,Bhayshul Tuten,RB,JAX,52.8,5.05,230,39,65,5.2,7
5641,Alec Pierce,WR,IND,53.9,5.06,76,39,67,5.6,13
2111,Mike Evans,WR,SF,55.0,5.07,183,38,79,6.5,8
3238,David Montgomery,RB,HOU,55.1,5.07,325,40,70,5.7,8
5360,Christian Watson,WR,GB,56.4,5.08,261,41,69,5.7,11
2888,Lamar Jackson,QB,BAL,56.5,5.08,161,33,71,8.7,13
4882,Joe Burrow,QB,CIN,57.3,5.09,109,30,75,10.2,6
6490,TreVeyon Henderson,RB,NE,59.3,5.11,162,44,73,5.8,11
2862,Courtland Sutton,WR,DEN,59.6,5.12,145,47,78,6.0,10
6501,Colston Loveland,TE,CHI,61.9,6.02,305,37,84,9.3,10
5443,Jaylen Warren,RB,PIT,62.4,6.02,49,45,72,6.5,9
6559,Luther Burden III,WR,CHI,62.4,6.02,388,43,81,7.3,10
3239,DK Metcalf,WR,PIT,63.8,6.04,244,47,85,6.3,9
3435,Tony Pollard,RB,TEN,65.0,6.05,89,55,79,5.5,9
6193,Marvin Harrison Jr.,WR,ARI,65.2,6.05,277,48,83,7.0,14
5705,Parker Washington,WR,JAX,65.3,6.05,380,47,83,6.9,7
2377,Dak Prescott,QB,DAL,65.7,6.06,111,51,91,7.7,14
5210,Rhamondre Stevenson,RB,NE,68.2,6.08,114,50,83,6.9,11
6175,Brian Thomas Jr.,WR,JAX,69.4,6.09,233,51,84,7.0,7
5854,Jayden Daniels,QB,WAS,70.5,6.10,132,47,92,8.9,7
6504,Tyler Warren,TE,IND,70.6,6.11,307,45,91,9.5,13
6768,Carnell Tate,WR,TEN,72.6,7.01,214,52,90,7.8,9
4873,Chuba Hubbard,RB,CAR,74.1,7.02,71,58,91,8.5,5
5095,Rico Dowdle,RB,PIT,74.8,7.03,109,55,93,7.5,9
5721,Michael Wilson,WR,ARI,76.1,7.04,264,57,89,7.3,14
6776,Jadarian Price,RB,SEA,76.6,7.05,578,49,117,10.3,11
2465,Chris Godwin Jr.,WR,TB,77.8,7.06,289,57,95,7.8,10
1664,Matthew Stafford,QB,LAR,78.7,7.07,88,59,105,9.5,11
5025,Jalen Hurts,QB,PHI,80.4,7.08,198,55,110,11.3,10
4880,Michael Pittman Jr.,WR,PIT,81.4,7.09,266,61,97,7.8,9
1327,Seattle Defense,DEF,SEA,82.1,7.10,61,61,100,7.7,11
4888,J.K. Dobbins,RB,DEN,83.5,7.11,166,60,120,11.6,10
6502,Harold Fannin Jr.,TE,CLE,83.9,7.12,44,72,101,6.4,11
5181,Kyle Pitts Sr.,TE,ATL,84.9,8.01,72,68,113,7.4,11
5680,Josh Downs,WR,IND,85.3,8.01,238,65,102,7.6,13
5674,Quentin Johnston,WR,LAC,85.4,8.01,191,64,102,7.9,7
3496,Jakobi Meyers,WR,JAX,86.7,8.03,82,70,102,7.6,7
5648,Brock Purdy,QB,SF,87.6,8.04,55,63,116,13.2,8
6530,RJ Harvey,RB,DEN,88.8,8.05,128,62,116,10.1,10
5673,Jordan Addison,WR,MIN,89.3,8.05,136,65,120,9.0,6
6173,Caleb Williams,QB,CHI,90.1,8.06,248,56,120,13.1,10
1309,Denver Defense,DEF,DEN,91.4,8.07,104,70,111,8.1,10
5588,Wan'Dale Robinson,WR,TEN,92.5,8.09,115,71,108,8.3,9
5707,Jayden Reed,WR,GB,92.8,8.09,103,69,112,9.0,11
2316,Stefon Diggs,WR,WAS,94.2,8.10,224,70,118,9.2,7
5564,Sam LaPorta,TE,DET,94.4,8.10,173,55,143,14.9,6
5186,Trevor Lawrence,QB,JAX,94.8,8.11,247,59,125,13.5,7
5196,Kenny Gainwell,RB,TB,98.5,9.02,185,69,130,11.2,10
2896,Dallas Goedert,TE,PHI,99.5,9.04,33,71,143,19.6,10
6172,Xavier Worthy,WR,KC,100.0,9.04,118,76,119,8.9,5
1312,Houston Defense,DEF,HOU,100.2,9.04,181,75,121,9.7,8
6523,Matthew Golden,WR,GB,101.7,9.06,149,79,125,8.4,11
2507,Aaron Jones Sr.,RB,MIN,102.1,9.06,102,70,129,12.6,6
5718,Tucker Kraft,TE,GB,102.5,9.06,194,57,150,17.3,11
6179,Jonathon Brooks,RB,CAR,103.5,9.07,466,61,143,16.2,5
2462,Patrick Mahomes,QB,KC,104.2,9.08,200,74,127,11.6,5
2351,Jared Goff,QB,DET,105.3,9.09,98,79,131,11.9,6
5636,Khalil Shakir,WR,BUF,105.3,9.09,57,88,117,6.4,7
6595,Jacory Croskey-Merritt,RB,WAS,106.3,9.10,210,75,140,14.6,7
6534,Kyle Monangai,RB,CHI,106.3,9.10,155,77,141,16.1,10
5586,Romeo Doubs,WR,NE,107.1,9.11,101,84,121,8.7,11
3246,Deebo Samuel Sr.,WR,SF,108.5,9.12,100,85,124,8.7,8
4887,Justin Herbert,QB,LAC,109.6,10.02,361,75,139,13.3,7
6772,Makai Lemon,WR,PHI,111.0,10.03,168,88,126,8.6,10
1317,Minnesota Defense,DEF,MIN,111.8,10.04,17,100,120,6.2,6
1328,LA Rams Defense,DEF,LAR,112.9,10.05,146,90,135,8.8,11
5626,Rachaad White,RB,WAS,114.5,10.07,83,74,142,15.4,7
6771,Jordyn Tyson,WR,NO,114.6,10.07,99,80,149,19.0,8
6253,Bo Nix,QB,DEN,116.2,10.08,178,77,142,15.0,10
5330,Jordan Mason,RB,MIN,117.8,10.10,310,73,150,16.9,6
6774,KC Concepcion,WR,CLE,118.6,10.11,217,90,147,10.9,11
6302,Jalen Coker,WR,CAR,119.0,10.11,89,96,149,8.8,5
5896,Rashid Shaheed,WR,SEA,119.6,10.12,109,93,144,10.0,11
5965,Blake Corum,RB,LAR,119.8,10.12,361,81,150,14.8,11
2499,George Kittle,TE,SF,120.0,10.12,152,73,170,21.2,8
6568,Jaxson Dart,QB,NYG,121.8,11.02,104,84,144,14.4,8
1989,Travis Kelce,TE,KC,123.2,11.03,100,83,165,17.7,5
6577,Jayden Higgins,WR,HOU,124.1,11.04,103,95,150,11.2,8
4861,Jerry Jeudy,WR,CLE,127.2,11.07,61,97,150,11.3,11
6489,Theo Wease Jr.,WR,MIA,127.4,11.07,9,116,161,14.8,6
1318,New England Defense,DEF,NE,127.6,11.08,58,104,167,13.5,11
6162,Brandon Aubrey,PK,DAL,128.9,11.09,426,73,184,21.4,14
1310,Detroit Defense,DEF,DET,129.1,11.09,16,116,150,11.4,6
5677,Zach Charbonnet,RB,SEA,131.2,11.11,156,89,169,16.2,11
5977,Tre Tucker,WR,LV,133.1,12.01,78,108,150,9.3,13
1992,Keenan Allen,WR,IND,133.9,12.02,17,111,150,9.8,13
1324,Pittsburgh Defense,DEF,PIT,134.1,12.02,40,102,163,14.2,9
5180,Rashod Bateman,WR,BAL,134.5,12.03,26,90,153,17.1,13
2886,Baker Mayfield,QB,TB,134.6,12.03,88,99,160,13.4,10
2872,Mark Andrews,TE,BAL,135.2,12.03,88,84,171,19.5,13
3299,Kyler Murray,QB,MIN,135.4,12.03,117,96,166,14.8,6
2424,Jason Myers,PK,SEA,136.1,12.04,44,93,184,19.3,11
2531,Ka'imi Fairbairn,PK,HOU,136.1,12.04,28,97,175,23.5,8
2866,Calvin Ridley,WR,TEN,137.2,12.05,32,105,150,12.2,9
6282,Jalen McMillan,WR,TB,137.4,12.05,64,116,150,8.2,10
5602,Tyler Shough,QB,NO,137.5,12.05,43,101,160,13.8,8
5661,Isaiah Likely,TE,NYG,137.6,12.06,281,91,179,17.8,8
6778,Denzel Boston,WR,CLE,138.3,12.06,44,121,154,8.9,11
5020,Jauan Jennings,WR,MIN,138.8,12.07,26,121,150,8.9,6
6777,De'Zhaun Stribling,WR,SF,140.3,12.08,235,100,176,15.2,8
1323,Philadelphia Defense,DEF,PHI,140.4,12.08,126,101,180,14.9,10
6529,Woody Marks,RB,HOU,142.0,12.10,46,92,170,19.1,8
1325,LA Chargers Defense,DEF,LAC,144.2,12.12,106,117,203,15.9,7
5692,Tyjae Spears,RB,TEN,144.7,13.01,41,96,173,18.5,9
2439,Alvin Kamara,RB,NO,144.9,13.01,72,88,179,21.6,8
5334,Jalen Nailor,WR,LV,145.9,13.02,41,116,176,12.6,13
5538,Cameron Dicker,PK,LAC,146.1,13.02,38,108,186,21.9,7
5561,Jake Ferguson,TE,DAL,146.3,13.02,74,108,177,17.7,14
6299,Harrison Mevis,PK,LAR,146.6,13.03,28,111,166,16.0,11
4865,Chase McLaughlin,PK,TB,146.7,13.03,21,108,190,17.5,10
2884,Sam Darnold,QB,SEA,147.4,13.03,19,121,166,11.8,11
6287,Malik Washington,WR,MIA,149.3,13.05,67,107,178,16.0,6
6587,Tyler Loop,PK,BAL,150.4,13.06,54,114,194,16.3,13
6055,Jake Bates,PK,DET,150.6,13.07,36,108,190,17.9,6
5688,Dalton Kincaid,TE,BUF,150.8,13.07,57,104,178,19.1,7
6276,Tyrone Tracy Jr.,RB,NYG,150.9,13.07,53,112,177,14.7,8
6188,Cam Little,PK,JAX,153.2,13.09,67,111,191,16.0,7
4892,Jordan Love,QB,GB,154.1,13.10,55,122,176,12.0,11
5691,Tank Bigsby,RB,PHI,154.8,13.11,29,125,187,18.2,10
2449,Cooper Kupp,WR,SEA,154.8,13.11,38,126,175,10.9,11
5655,Tyler Allgeier,RB,ARI,155.6,13.12,90,98,209,22.1,14
5982,Keaton Mitchell,RB,LAC,155.7,13.12,21,114,204,23.7,7
5545,Malik Willis,QB,MIA,156.5,13.12,55,108,190,22.3,6
5337,Isiah Pacheco,RB,DET,156.6,14.01,60,106,179,19.2,6
5036,Tyler Bass,PK,BUF,157.0,14.01,5,114,206,37.9,7
5717,Chris Rodriguez Jr.,RB,JAX,157.2,14.01,61,121,199,17.8,7
5711,Tank Dell,WR,HOU,157.8,14.02,73,120,180,14.2,8
1314,Jacksonville Defense,DEF,JAX,158.2,14.02,146,117,195,15.6,7
6563,Travis Hunter,WR,JAX,158.2,14.02,30,112,180,17.6,7
1303,Buffalo Defense,DEF,BUF,158.9,14.03,153,130,209,14.2,7
6789,Antonio Williams,WR,WAS,160.2,14.04,5,119,175,23.3,7
6184,Adonai Mitchell,WR,NYJ,160.4,14.04,24,130,179,14.2,13
6799,Jonah Coleman,RB,DEN,160.5,14.04,18,135,205,16.5,10
5694,Kayshon Boutte,WR,NE,160.7,14.05,22,129,178,12.9,11
6828,Cyrus Allen,WR,KC,161.0,14.05,7,90,198,34.1,5
1307,Cleveland Defense,DEF,CLE,161.0,14.05,89,121,206,15.3,11
2354,Hunter Henry,TE,NE,161.3,14.05,17,128,178,15.5,11
5605,Brian Robinson,RB,ATL,161.7,14.06,19,122,199,26.2,11
6775,Omar Cooper Jr.,WR,NYJ,161.9,14.06,9,142,178,13.4,13
5985,Brenton Strange,TE,JAX,162.0,14.06,15,126,197,22.8,7
5622,MarShawn Lloyd,RB,GB,162.8,14.07,8,127,187,19.1,11
2522,Wil Lutz,PK,DEN,163.0,14.07,40,117,205,19.6,10
5151,Juwan Johnson,TE,NO,163.9,14.08,25,133,178,15.6,8
6798,Kaelon Black,RB,SF,164.3,14.08,7,141,184,14.3,8
6046,Blake Grupe,PK,IND,165.0,14.09,14,142,196,15.5,13
6803,Mike Washington Jr.,RB,LV,165.3,14.09,22,105,208,23.9,13
6304,Ryan Flournoy,WR,DAL,165.9,14.10,17,151,178,8.6,14
3264,Daniel Jones,QB,IND,165.9,14.10,31,142,179,10.8,13
5676,C.J. Stroud,QB,HOU,166.0,14.10,21,145,184,10.4,8
1332,Baltimore Defense,DEF,BAL,166.0,14.10,63,133,210,18.7,13
2514,Harrison Butker,PK,KC,166.5,14.10,32,139,209,20.3,5
6787,Ja'Kobi Lane,WR,BAL,166.8,14.11,19,110,202,21.7,13
6197,Ray Davis,RB,BUF,167.0,14.11,6,148,206,21.2,7
6557,Jaydon Blue,RB,DAL,167.0,14.11,6,150,178,10.4,14
5725,Dontayvion Wicks,WR,PHI,167.3,14.11,20,125,209,27.6,10
1305,Chicago Defense,DEF,CHI,168.0,14.12,8,136,209,27.4,10
6176,Braelon Allen,RB,NYJ,168.2,14.12,19,104,202,24.4,13
6296,Will Reichard,PK,MIN,169.9,15.02,25,119,204,19.5,6
3097,Eddy Piñeiro,PK,SF,170.6,15.03,19,113,206,29.2,8
1319,New Orleans Defense,DEF,NO,172.6,15.05,19,143,197,16.9,8
6511,Dylan Sampson,RB,CLE,172.8,15.05,15,122,197,20.5,11
6790,Caleb Douglas,WR,MIA,173.7,15.06,6,157,205,19.1,6
1330,Tennessee Defense,DEF,TEN,173.9,15.06,22,155,192,10.3,9
2340,Chris Boswell,PK,PIT,175.3,15.07,6,167,179,4.6,9
6525,Tre' Harris,WR,LAC,176.1,15.08,7,148,201,17.3,7
