player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.8,1.02,1176,1,4,0.8,6
5670,Bijan Robinson,RB,ATL,1.8,1.02,903,1,4,0.8,11
5714,Puka Nacua,WR,LAR,2.9,1.03,275,1,5,0.7,11
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1332,1,8,1.0,6
5671,Jaxon Smith-Njigba,WR,SEA,5.7,1.06,692,2,9,1.2,11
2434,Christian McCaffrey,RB,SF,5.8,1.06,821,2,11,1.4,8
5182,Amon-Ra St. Brown,WR,DET,7.0,1.07,848,3,12,1.4,6
4864,Jonathan Taylor,RB,IND,7.4,1.07,1136,3,15,1.7,13
5683,De'Von Achane,RB,MIA,10.1,1.10,418,5,18,1.8,6
5574,Drake London,WR,ATL,10.2,1.10,208,6,16,1.5,11
4869,CeeDee Lamb,WR,DAL,11.2,1.11,915,5,21,2.1,14
5696,Rashee Rice,WR,KC,11.5,1.12,171,6,19,1.9,5
5706,Chase Brown,RB,CIN,12.1,1.12,984,5,19,2.4,6
6500,Ashton Jeanty,RB,LV,13.8,1.14,689,6,22,2.9,13
4876,Justin Jefferson,WR,MIN,14.6,2.01,1085,6,22,3.0,6
5652,James Cook III,RB,BUF,14.9,2.01,1736,6,23,3.1,7
2350,Derrick Henry,RB,BAL,15.4,2.01,439,8,22,2.8,13
3247,A.J. Brown,WR,NE,17.8,2.04,660,10,25,2.8,11
2860,Saquon Barkley,RB,PHI,19.0,2.05,1536,10,28,3.3,10
6538,Omarion Hampton,RB,LAC,19.6,2.06,1550,10,29,3.7,7
5544,Chris Olave,WR,NO,20.4,2.06,262,14,26,2.5,8
5576,George Pickens,WR,DAL,21.1,2.07,445,14,28,2.5,14
5207,Nico Collins,WR,HOU,23.8,2.10,786,17,33,2.6,8
3255,Josh Jacobs,RB,GB,24.2,2.10,352,17,30,2.7,11
6769,Jeremiyah Love,RB,ARI,26.2,2.12,348,16,37,3.8,14
5625,Kenneth Walker,RB,KC,26.2,2.12,1871,16,39,3.7,5
5675,Zay Flowers,WR,BAL,26.4,2.12,340,18,38,2.9,13
2885,Josh Allen,QB,BUF,26.6,2.13,856,10,42,6.4,7
5503,Breece Hall,RB,NYJ,27.0,2.13,254,18,36,3.2,13
