player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.5,1.02,1954,1,4,0.7,6
5670,Bijan Robinson,RB,ATL,2.1,1.02,1155,1,6,0.7,11
5714,Puka Nacua,WR,LAR,3.1,1.03,302,1,6,0.9,11
5177,Ja'Marr Chase,WR,CIN,3.8,1.04,2021,1,8,1.0,6
5671,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,1075,2,11,1.1,11
5182,Amon-Ra St. Brown,WR,DET,6.4,1.06,1151,2,12,1.3,6
2434,Christian McCaffrey,RB,SF,6.6,1.07,1596,2,12,1.6,8
4864,Jonathan Taylor,RB,IND,7.5,1.07,1791,3,14,1.7,13
5574,Drake London,WR,ATL,10.0,1.10,294,6,16,1.7,11
5683,De'Von Achane,RB,MIA,10.4,1.10,808,5,18,1.9,6
4869,CeeDee Lamb,WR,DAL,10.7,1.11,1337,6,18,1.9,14
4876,Justin Jefferson,WR,MIN,11.7,1.12,1362,5,20,2.3,6
5652,James Cook III,RB,BUF,12.7,2.01,2881,5,22,2.9,7
5706,Chase Brown,RB,CIN,13.3,2.01,1776,6,20,2.5,6
5696,Rashee Rice,WR,KC,14.8,2.03,248,9,22,2.2,5
6500,Ashton Jeanty,RB,LV,15.1,2.03,1314,6,23,3.2,13
2350,Derrick Henry,RB,BAL,17.6,2.06,1057,10,25,2.6,13
3247,A.J. Brown,WR,NE,18.2,2.06,1530,9,29,3.2,11
5544,Chris Olave,WR,NO,19.5,2.07,548,10,30,3.3,8
2860,Saquon Barkley,RB,PHI,19.5,2.08,2624,10,31,3.3,10
5576,George Pickens,WR,DAL,20.6,2.09,728,12,29,3.0,14
5207,Nico Collins,WR,HOU,21.0,2.09,835,13,32,2.9,8
5625,Kenneth Walker,RB,KC,21.8,2.10,2477,11,34,4.1,5
6538,Omarion Hampton,RB,LAC,23.4,2.11,2287,12,37,4.3,7
5548,Garrett Wilson,WR,NYJ,25.7,3.02,344,18,36,2.9,13
5675,Zay Flowers,WR,BAL,26.1,3.02,448,18,37,3.0,13
6183,Malik Nabers,WR,NYG,27.3,3.03,1618,18,40,3.4,8
