player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.6,1.02,174,1,3,0.8,6
5670,Bijan Robinson,RB,ATL,2.3,1.02,88,1,4,0.7,11
5714,Puka Nacua,WR,LAR,2.7,1.03,26,1,4,0.8,11
4864,Jonathan Taylor,RB,IND,4.3,1.04,125,3,7,0.9,13
5177,Ja'Marr Chase,WR,CIN,5.1,1.05,168,1,9,1.6,6
5671,Jaxon Smith-Njigba,WR,SEA,5.5,1.05,67,2,7,1.1,11
2350,Derrick Henry,RB,BAL,6.5,1.06,86,1,12,2.5,13
2434,Christian McCaffrey,RB,SF,6.6,1.07,147,3,10,2.0,8
5182,Amon-Ra St. Brown,WR,DET,8.7,1.09,129,4,12,1.6,6
5652,James Cook III,RB,BUF,9.5,1.10,226,3,14,2.1,7
5574,Drake London,WR,ATL,11.1,1.11,20,4,15,2.5,11
5683,De'Von Achane,RB,MIA,12.9,1.13,50,8,19,2.3,6
5696,Rashee Rice,WR,KC,13.3,1.13,13,11,17,1.7,5
3255,Josh Jacobs,RB,GB,14.0,1.14,34,10,20,3.0,11
2860,Saquon Barkley,RB,PHI,14.3,1.14,188,6,20,3.1,10
4869,CeeDee Lamb,WR,DAL,14.4,1.14,132,7,21,2.5,14
6500,Ashton Jeanty,RB,LV,16.3,2.02,148,7,23,3.4,13
5576,George Pickens,WR,DAL,17.9,2.04,30,8,22,3.5,14
2885,Josh Allen,QB,BUF,18.1,2.04,94,1,33,8.7,7
5706,Chase Brown,RB,CIN,19.0,2.05,205,9,26,3.7,6
3247,A.J. Brown,WR,NE,19.0,2.05,84,11,26,2.9,11
4876,Justin Jefferson,WR,MIN,19.1,2.05,173,11,25,3.1,6
6538,Omarion Hampton,RB,LAC,21.6,2.08,303,9,31,4.5,7
5207,Nico Collins,WR,HOU,22.5,2.09,82,17,28,2.1,8
5675,Zay Flowers,WR,BAL,25.0,2.11,28,17,31,3.0,13
5623,Kyren Williams,RB,LAR,25.9,2.12,126,15,33,4.1,11
5544,Chris Olave,WR,NO,25.9,2.12,49,20,31,2.4,8
5503,Breece Hall,RB,NYJ,27.1,2.13,57,16,34,4.1,13
5625,Kenneth Walker,RB,KC,28.7,3.01,276,15,38,5.1,5
6769,Jeremiyah Love,RB,ARI,29.5,3.01,51,22,37,5.1,14
6576,Emeka Egbuka,WR,TB,29.6,3.02,93,23,35,2.9,10
5185,Javonte Williams,RB,DAL,30.7,3.03,92,22,39,3.6,14
6183,Malik Nabers,WR,NYG,32.0,3.04,155,17,46,5.5,8
