player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5672,Jahmyr Gibbs,RB,DET,1.3,1.01,351,1,4,0.6,6
5670,Bijan Robinson,RB,ATL,2.3,1.02,107,1,4,0.7,11
5714,Puka Nacua,WR,LAR,3.8,1.04,54,1,6,1.1,11
4864,Jonathan Taylor,RB,IND,4.3,1.04,178,1,7,0.9,13
5177,Ja'Marr Chase,WR,CIN,4.5,1.05,285,1,9,1.3,6
5671,Jaxon Smith-Njigba,WR,SEA,6.4,1.06,136,2,10,1.4,11
2434,Christian McCaffrey,RB,SF,6.8,1.07,212,1,11,2.0,8
2350,Derrick Henry,RB,BAL,7.3,1.07,82,4,10,1.7,13
5182,Amon-Ra St. Brown,WR,DET,8.4,1.08,200,3,13,2.1,6
5652,James Cook III,RB,BUF,8.5,1.08,359,3,14,2.5,7
5683,De'Von Achane,RB,MIA,11.5,1.12,86,6,16,1.9,6
5574,Drake London,WR,ATL,12.8,2.01,25,10,17,1.8,11
2860,Saquon Barkley,RB,PHI,13.0,2.01,201,5,19,2.7,10
4869,CeeDee Lamb,WR,DAL,13.6,2.02,155,6,23,2.8,14
6500,Ashton Jeanty,RB,LV,15.1,2.03,203,6,22,3.4,13
4876,Justin Jefferson,WR,MIN,16.2,2.04,226,8,24,2.8,6
5706,Chase Brown,RB,CIN,16.6,2.05,337,9,24,2.7,6
5696,Rashee Rice,WR,KC,19.1,2.07,29,11,25,3.5,5
5576,George Pickens,WR,DAL,20.0,2.08,103,14,25,2.2,14
5207,Nico Collins,WR,HOU,20.5,2.08,92,14,30,2.7,8
3255,Josh Jacobs,RB,GB,20.9,2.09,80,15,28,3.0,11
5625,Kenneth Walker,RB,KC,21.4,2.09,438,12,32,3.6,5
3247,A.J. Brown,WR,NE,21.7,2.10,238,13,30,3.1,11
5623,Kyren Williams,RB,LAR,22.2,2.10,203,13,31,3.5,11
6538,Omarion Hampton,RB,LAC,23.9,2.12,431,13,33,4.1,7
5675,Zay Flowers,WR,BAL,26.0,3.02,66,21,33,2.4,13
5544,Chris Olave,WR,NO,26.9,3.03,88,21,38,2.8,8
2885,Josh Allen,QB,BUF,27.1,3.03,283,1,43,10.6,7
5185,Javonte Williams,RB,DAL,27.5,3.04,180,20,35,2.8,14
6183,Malik Nabers,WR,NYG,28.7,3.05,211,21,40,3.4,8
6769,Jeremiyah Love,RB,ARI,31.1,3.07,137,20,41,4.2,14
6561,Tetairoa McMillan,WR,CAR,31.9,3.08,75,24,40,2.8,5
5643,Jameson Williams,WR,DET,32.5,3.08,42,25,40,3.1,6
6576,Emeka Egbuka,WR,TB,33.6,3.10,223,22,47,4.4,10
5503,Breece Hall,RB,NYJ,34.1,3.10,105,21,46,5.1,13
2125,Davante Adams,WR,LAR,34.8,3.11,126,26,41,3.2,11
4870,Tee Higgins,WR,CIN,34.8,3.11,133,20,44,5.4,6
6509,Cam Skattebo,RB,NYG,36.2,3.12,112,23,46,4.9,8
