rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons
1,Jahmyr Gibbs,RB,1,DET,24.0,294.5,20.31,159.2,99,,49,3
2,Bijan Robinson,RB,2,ATL,24.0,291.9,20.13,156.6,98,,51,3
3,Puka Nacua,WR,1,LA,25.0,276.2,18.41,139.6,90,Questionable,44,3
4,De'Von Achane,RB,3,MIA,24.0,266.5,18.38,131.2,86,,44,3
5,Jonathan Taylor,RB,4,IND,27.0,253.3,17.47,118.0,79,,41,3
6,Ja'Marr Chase,WR,2,CIN,26.0,251.2,16.75,114.6,78,,49,3
7,Jaxon Smith-Njigba,WR,3,SEA,24.0,246.6,16.44,110.0,75,,51,3
8,Kyren Williams,RB,5,LA,25.0,240.7,16.6,105.4,73,,45,3
9,James Cook,RB,6,BUF,26.0,236.1,16.28,100.8,71,,50,3
10,Amon-Ra St. Brown,WR,4,DET,26.0,236.4,15.76,99.8,70,,50,3
11,Trey McBride,TE,1,ARI,26.0,204.1,13.61,90.5,65,,50,3
12,Christian McCaffrey,RB,7,SF,30.0,218.1,15.04,82.8,61,Questionable,37,3
13,Josh Allen,QB,1,BUF,30.0,339.9,21.93,83.7,61,,49,3
14,Brock Bowers,TE,2,LV,23.0,192.9,12.86,79.3,59,,29,2
15,Malik Nabers,WR,5,NYG,23.0,212.8,14.19,76.2,57,Questionable,19,2
16,Breece Hall,RB,8,NYJ,25.0,208.5,14.38,73.2,56,Questionable,49,3
17,Drake London,WR,6,ATL,25.0,211.0,14.07,74.4,56,,45,3
18,George Pickens,WR,7,DAL,25.0,206.6,13.77,70.0,54,,48,3
19,CeeDee Lamb,WR,8,DAL,27.0,206.4,13.76,69.8,54,,45,3
20,Bucky Irving,RB,9,TB,24.0,205.5,14.17,70.2,54,,27,2
21,Ashton Jeanty,RB,10,LV,22.0,204.7,14.12,69.4,54,,17,1
22,Chase Brown,RB,11,CIN,26.0,201.8,13.92,66.5,52,,45,3
23,Rashee Rice,WR,9,KC,26.0,203.4,13.56,66.8,52,,28,3
24,Nico Collins,WR,10,HOU,27.0,197.4,13.16,60.8,49,,42,3
25,Saquon Barkley,RB,12,PHI,29.0,196.5,13.55,61.2,49,,46,3
26,Josh Jacobs,RB,13,GB,28.0,195.6,13.49,60.3,48,Questionable,45,3
27,Quinshon Judkins,RB,14,CLE,22.0,187.8,12.95,52.5,44,Questionable,14,1
28,Chris Olave,WR,11,NO,26.0,189.5,12.63,52.9,44,,40,3
29,Cam Skattebo,RB,15,NYG,24.0,185.6,12.8,50.3,42,,8,1
30,Omarion Hampton,RB,16,LAC,23.0,185.5,12.79,50.2,42,,9,1
31,Zay Flowers,WR,12,BAL,25.0,184.6,12.31,48.0,41,,50,3
32,Tee Higgins,WR,13,CIN,27.0,184.5,12.3,47.9,41,,39,3
33,Javonte Williams,RB,17,DAL,26.0,181.5,12.52,46.2,40,,49,3
34,D'Andre Swift,RB,18,CHI,27.0,182.7,12.6,47.4,40,,49,3
35,Travis Etienne,RB,19,JAX,27.0,181.2,12.5,45.9,40,,49,3
36,Sam LaPorta,TE,3,DET,25.0,161.0,10.73,47.4,40,Questionable,42,3
37,Lamar Jackson,QB,2,BAL,29.0,300.9,19.41,44.7,39,,46,3
38,Drake Maye,QB,3,NE,23.0,301.5,19.45,45.3,39,,30,2
39,Brian Thomas Jr.,WR,14,JAX,23.0,182.0,12.13,45.4,39,,31,2
40,Jalen Hurts,QB,4,PHI,28.0,301.0,19.42,44.8,39,,48,3
41,George Kittle,TE,4,SF,32.0,156.8,10.45,43.2,38,PUP,42,3
42,TreVeyon Henderson,RB,20,NE,23.0,178.1,12.28,42.8,38,,17,1
43,Jameson Williams,WR,15,DET,25.0,180.4,12.03,43.8,38,,44,3
44,Tucker Kraft,TE,5,GB,25.0,156.8,10.45,43.2,38,Questionable,39,3
45,Brock Purdy,QB,5,SF,26.0,297.8,19.21,41.6,37,,40,3
46,A.J. Brown,WR,16,PHI,29.0,177.9,11.86,41.3,37,,45,3
47,Garrett Wilson,WR,17,NYJ,26.0,176.0,11.73,39.4,35,,41,3
48,Justin Jefferson,WR,18,MIN,27.0,175.2,11.68,38.6,35,,44,3
49,Ladd McConkey,WR,19,LAC,24.0,172.2,11.48,35.6,33,,32,2
50,Jayden Daniels,QB,6,WAS,25.0,290.2,18.72,34.0,32,,24,2
51,Kenneth Walker III,RB,21,SEA,27.0,169.5,11.69,34.2,32,,43,3
52,Jordan Addison,WR,20,MIN,24.0,170.0,11.33,33.4,31,,46,3
53,Tetairoa McMillan,WR,21,CAR,23.0,170.1,11.34,33.5,31,,17,1
54,Quentin Johnston,WR,22,LAC,24.0,168.9,11.26,32.3,31,Questionable,45,3
55,J.K. Dobbins,RB,22,DEN,27.0,167.2,11.53,31.9,30,,24,3
56,Bo Nix,QB,7,DEN,26.0,287.5,18.55,31.3,30,,34,2
57,Kyle Pitts,TE,6,ATL,25.0,143.4,9.56,29.8,29,,51,3
58,Zach Charbonnet,RB,23,SEA,25.0,165.0,11.38,29.7,29,PUP,49,3
59,Tyreek Hill,WR,23,MIA,31.0,164.1,10.94,27.5,27,Questionable,37,3
60,Davante Adams,WR,24,LA,33.0,164.1,10.94,27.5,27,,45,3
61,RJ Harvey,RB,24,DEN,25.0,163.1,11.25,27.8,27,,17,1
62,Harold Fannin Jr.,TE,7,CLE,22.0,141.3,9.42,27.7,27,,16,1
63,Derrick Henry,RB,25,BAL,32.0,161.5,11.14,26.2,26,,51,3
64,Emeka Egbuka,WR,25,TB,23.0,160.8,10.72,24.2,25,Questionable,17,1
65,Jaylen Warren,RB,26,PIT,27.0,159.5,11.0,24.2,25,,48,3
66,DeVonta Smith,WR,26,PHI,27.0,161.5,10.77,24.9,25,Questionable,46,3
67,Marvin Harrison Jr.,WR,27,ARI,24.0,159.0,10.6,22.4,24,,29,2
