position,expert_rank,name,adp_pos_rank,adp,note
TE,1,Brock Bowers,1,21.6,
TE,2,Trey McBride,2,25.7,
TE,3,Colston Loveland,3,43.2,
TE,4,Tyler Warren,4,47.7,
TE,5,Sam LaPorta,5,63.4,
TE,6,Harold Fannin Jr.,8,77.1,
TE,7,Tucker Kraft,6,69.3,inj
TE,8,George Kittle,9,92.0,inj
TE,9,Kyle Pitts,7,73.9,
TE,10,Dallas Goedert,14,120.7,
TE,11,Dalton Kincaid,11,102.3,
TE,12,Mark Andrews,15,128.2,
TE,13,Travis Kelce,10,95.4,
TE,14,Isaiah Likely,13,115.1,
TE,15,Juwan Johnson,21,156.3,
TE,16,Jake Ferguson,12,113.8,
TE,17,Dalton Schultz,23,168.1,
TE,18,Chig Okonkwo,19,165.7,
TE,19,Brenton Strange,18,153.3,
TE,20,AJ Barner,24,168.7,
TE,21,Oronde Gadsden,16,143.8,
TE,22,Hunter Henry,17,144.0,
TE,23,Greg Dulcich,28,171.5,
TE,24,Terrance Ferguson,26,173.6,
TE,25,Kenyon Sadiq,20,155.9,
QB,1,Josh Allen,1,23.8,
QB,2,Lamar Jackson,2,40.5,
QB,3,Drake Maye,4,56.3,
QB,4,Jayden Daniels,5,63.2,
QB,5,Jalen Hurts,6,65.3,
QB,6,Joe Burrow,3,55.9,
QB,7,Dak Prescott,7,79.6,
QB,8,Justin Herbert,9,82.3,
QB,9,Trevor Lawrence,10,90.3,
QB,10,Caleb Williams,8,80.0,
QB,11,Jaxson Dart,11,98.5,
QB,12,Brock Purdy,12,108.0,
QB,13,Bo Nix,15,114.5,
QB,14,Kyler Murray,17,135.9,
QB,15,Matthew Stafford,13,110.8,
QB,16,Jared Goff,14,126.6,
QB,17,Patrick Mahomes,16,112.9,
QB,18,Baker Mayfield,18,140.8,
QB,19,Jordan Love,19,148.7,
QB,20,Malik Willis,21,157.8,
QB,21,Tyler Shough,20,150.4,
QB,22,Daniel Jones,24,169.3,
QB,23,Sam Darnold,22,161.7,
QB,24,Bryce Young,27,165.2,
QB,25,Aaron Rodgers,30,178.8,
RB,1,Jahmyr Gibbs,1,1.5,
RB,2,Bijan Robinson,2,2.0,
RB,3,Christian McCaffrey,3,6.5,
RB,4,James Cook,5,9.8,
