rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons,key,adp,market,source,status,out,has_market,edge,thin,low_conf,model_value,model_only,expert_rank,expert_adp_rank,expert_tilt,expert_move
1,Jahmyr Gibbs,RB,1,DET,24.0,294.5,20.31,159.2,97,Questionable,49,3,jahmyr gibbs,1.5,100,yahoo,Q,False,True,-3,False,False,99,99,1.0,1.0,0.0,-2
2,Bijan Robinson,RB,2,ATL,24.0,291.9,20.13,156.6,96,,51,3,bijan robinson,2.1,99,yahoo,,False,True,-3,False,False,97,97,2.0,2.0,0.0,-1
3,Puka Nacua,WR,1,LA,25.0,276.2,18.41,139.4,88,Questionable,44,3,puka nacua,2.8,89,yahoo,Q,False,True,-1,False,False,89,89,2.0,2.0,0.0,-1
4,De'Von Achane,RB,3,MIA,24.0,266.5,18.38,131.2,83,,44,3,devon achane,10.9,68,yahoo,,False,True,15,False,False,85,85,10.0,8.0,-2.0,-2
5,Jonathan Taylor,RB,4,IND,27.0,253.3,17.47,118.0,74,,41,3,jonathan taylor,5.8,85,yahoo,,False,True,-11,False,False,79,79,5.0,4.0,-6.0,-5
6,Ja'Marr Chase,WR,2,CIN,26.0,251.2,16.75,114.4,76,,49,3,jamarr chase,4.1,92,yahoo,,False,True,-16,False,False,77,77,1.0,1.0,0.0,-1
7,Jaxon Smith-Njigba,WR,3,SEA,24.0,246.6,16.44,109.8,71,,51,3,jaxon smith njigba,5.3,86,yahoo,,False,True,-15,False,False,75,75,4.0,3.0,-4.0,-4
8,Kyren Williams,RB,5,LA,25.0,240.7,16.6,105.4,65,,45,3,kyren williams,32.0,45,yahoo,,False,True,20,False,False,73,73,17.0,14.0,-11.0,-8
9,Amon-Ra St. Brown,WR,4,DET,26.0,236.4,15.76,99.6,71,,50,3,amon ra st brown,7.8,82,yahoo,,False,True,-11,False,False,70,70,3.0,4.0,4.0,1
10,James Cook,RB,6,BUF,26.0,236.1,16.28,100.8,72,,50,3,james cook,12.1,79,yahoo,,False,True,-7,False,False,70,70,4.0,5.0,6.0,2
11,Trey McBride,TE,1,ARI,26.0,204.1,13.61,90.5,64,,50,3,trey mcbride,45.0,54,yahoo,,False,True,10,False,False,65,65,2.0,2.0,0.0,-1
12,Christian McCaffrey,RB,7,SF,30.0,218.1,15.04,82.8,60,Questionable,37,3,christian mccaffrey,6.6,88,yahoo,Q,False,True,-28,False,False,61,61,3.0,3.0,0.0,-1
13,Josh Allen,QB,1,BUF,30.0,339.9,21.93,83.7,60,,49,3,josh allen,22.8,54,yahoo,,False,True,6,False,False,61,61,1.0,1.0,0.0,-1
14,Brock Bowers,TE,2,LV,23.0,192.9,12.86,79.3,58,,29,2,brock bowers,46.3,60,yahoo,,False,True,-2,False,False,59,59,1.0,1.0,0.0,-1
15,Malik Nabers,WR,5,NYG,23.0,212.8,14.19,76.0,56,Questionable,19,2,malik nabers,31.5,45,yahoo,Q,False,True,11,True,False,57,57,11.0,11.0,0.0,-1
16,Bucky Irving,RB,8,TB,23.0,211.4,14.58,76.1,54,,27,2,bucky irving,45.4,25,yahoo,,False,True,29,True,False,57,57,24.0,20.0,-4.0,-3
17,Breece Hall,RB,9,NYJ,25.0,208.5,14.38,73.2,58,,49,3,breece hall,26.1,38,yahoo,,False,True,20,False,False,56,56,14.0,15.0,4.0,2
18,Drake London,WR,6,ATL,25.0,211.0,14.07,74.2,60,,45,3,drake london,9.5,65,yahoo,,False,True,-5,False,False,56,56,6.0,7.0,9.0,4
19,CeeDee Lamb,WR,7,DAL,27.0,206.4,13.76,69.6,45,,45,3,ceedee lamb,12.4,79,yahoo,,False,True,-34,False,False,54,54,7.0,5.0,-14.0,-9
20,George Pickens,WR,8,DAL,25.0,206.6,13.77,69.8,47,,48,3,george pickens,19.6,54,yahoo,,False,True,-7,False,False,54,54,13.0,9.0,-10.0,-7
21,Ashton Jeanty,RB,10,LV,22.0,204.7,14.12,69.4,72,,17,1,ashton jeanty,14.3,73,yahoo,,False,True,-1,True,False,53,73,7.0,7.0,0.0,-1
22,Chase Brown,RB,11,CIN,26.0,201.8,13.92,66.5,54,,45,3,chase brown,16.3,70,yahoo,,False,True,-16,False,False,52,52,6.0,9.0,5.0,2
23,Rashee Rice,WR,9,KC,26.0,203.4,13.56,66.6,42,,28,3,rashee rice,12.2,44,yahoo,,False,True,-2,False,False,52,52,18.0,12.0,-15.0,-10
24,Saquon Barkley,RB,12,PHI,29.0,196.5,13.55,61.2,43,,46,3,saquon barkley,18.2,72,yahoo,,False,True,-29,False,False,49,49,11.0,6.0,-9.0,-6
25,Nico Collins,WR,10,HOU,27.0,197.4,13.16,60.6,47,,42,3,nico collins,23.6,60,yahoo,,False,True,-13,False,False,48,48,10.0,10.0,0.0,-1
26,Josh Jacobs,RB,13,GB,28.0,195.6,13.49,60.3,54,Questionable,45,3,josh jacobs,22.0,46,yahoo,Q,False,True,8,False,False,48,48,13.0,17.0,12.0,6
27,Chris Olave,WR,11,NO,26.0,189.5,12.63,52.7,49,,40,3,chris olave,23.1,44,yahoo,,False,True,5,False,False,44,44,9.0,13.0,10.0,5
28,Quinshon Judkins,RB,14,CLE,22.0,187.8,12.95,52.5,43,,14,1,quinshon judkins,47.8,24,yahoo,,False,True,19,True,False,44,44,23.0,23.0,0.0,-1
29,Omarion Hampton,RB,15,LAC,23.0,185.5,12.79,50.2,68,,9,1,omarion hampton,21.9,68,yahoo,,False,True,0,True,False,42,68,8.0,10.0,2.0,0
30,Cam Skattebo,RB,16,NYG,24.0,185.6,12.8,50.3,41,,8,1,cam skattebo,33.5,33,yahoo,,False,True,8,True,False,42,42,18.0,18.0,0.0,-1
