key,name,position,team,adp,raw_200,aav_200,market,source,status,out
jahmyr gibbs,Jahmyr Gibbs,RB,DET,1.5,73.3,73.55812408826544,100,yahoo,Q,False
bijan robinson,Bijan Robinson,RB,ATL,2.1,72.3,72.81358114115639,99,yahoo,,False
puka nacua,Puka Nacua,WR,LAR,2.8,62.8,65.59771651453875,89,yahoo,Q,False
jamarr chase,Ja'Marr Chase,WR,CIN,4.1,65.5,67.67610806924483,92,yahoo,,False
jaxon smith njigba,Jaxon Smith-Njigba,WR,SEA,5.3,59.9,63.33893386314184,86,yahoo,,False
jonathan taylor,Jonathan Taylor,RB,IND,5.8,58.3,62.08039001813157,85,yahoo,,False
christian mccaffrey,Christian McCaffrey,RB,SF,6.6,61.0,64.19903687337167,88,yahoo,Q,False
amon ra st brown,Amon-Ra St. Brown,WR,DET,7.8,55.5,59.85571731379785,82,yahoo,,False
drake london,Drake London,WR,ATL,9.5,40.7,47.54611832458517,65,yahoo,,False
derrick henry,Derrick Henry,RB,BAL,9.8,37.4,44.648818901408596,61,yahoo,,False
devon achane,De'Von Achane,RB,MIA,10.9,43.6,50.04092754001821,68,yahoo,,False
james cook,James Cook III,RB,BUF,12.1,53.4,58.167721018268786,79,yahoo,,False
rashee rice,Rashee Rice,WR,KC,12.2,24.2,32.268674817155116,44,yahoo,,False
ceedee lamb,CeeDee Lamb,WR,DAL,12.4,52.8,57.68223413542447,79,yahoo,,False
ashton jeanty,Ashton Jeanty,RB,LV,14.3,47.8,53.57754217898937,73,yahoo,,False
justin jefferson,Justin Jefferson,WR,MIN,15.4,48.5,54.15880586770337,74,yahoo,,False
chase brown,Chase Brown,RB,CIN,16.3,44.9,51.1448802850081,70,yahoo,,False
saquon barkley,Saquon Barkley,RB,PHI,18.2,46.7,52.65954488398808,72,yahoo,,False
aj brown,A.J. Brown,WR,NE,19.2,29.2,37.13100017010263,50,yahoo,,False
george pickens,George Pickens,WR,DAL,19.6,32.0,39.754864969104695,54,yahoo,,False
omarion hampton,Omarion Hampton,RB,LAC,21.9,43.5,49.95564887928428,68,yahoo,,False
josh jacobs,Josh Jacobs,RB,GB,22.0,25.8,33.85176941030458,46,yahoo,Q,False
josh allen,Josh Allen,QB,BUF,22.8,31.7,39.47677084842612,54,yahoo,,False
chris olave,Chris Olave,WR,NO,23.1,24.0,32.06882784049638,44,yahoo,,False
nico collins,Nico Collins,WR,HOU,23.6,36.4,43.75758214112882,60,yahoo,,False
zay flowers,Zay Flowers,WR,BAL,25.5,16.4,24.084179221663383,33,yahoo,Q,False
breece hall,Breece Hall,RB,NYJ,26.1,20.1,28.074843407046966,38,yahoo,,False
kenneth walker,Kenneth Walker,RB,KC,26.9,40.4,47.28538291040299,64,yahoo,,False
jeremiyah love,Jeremiyah Love,RB,ARI,28.2,30.3,38.16951992286813,52,yahoo,,False
garrett wilson,Garrett Wilson,WR,NYJ,30.9,14.0,21.362267859177727,29,yahoo,,False
devonta smith,DeVonta Smith,WR,PHI,31.3,24.3,32.368430573722875,44,yahoo,Q,False
malik nabers,Malik Nabers,WR,NYG,31.5,24.9,32.9646544959909,45,yahoo,Q,False
emeka egbuka,Emeka Egbuka,WR,TB,32.0,13.7,21.013228939151766,28,yahoo,Q,False
kyren williams,Kyren Williams,RB,LAR,32.0,25.1,33.16252952896523,45,yahoo,,False
cam skattebo,Cam Skattebo,RB,NYG,33.5,16.7,24.416367223933765,33,yahoo,,False
javonte williams,Javonte Williams,RB,DAL,35.8,22.1,30.14703626218103,41,yahoo,,False
tetairoa mcmillan,Tetairoa McMillan,WR,CAR,36.6,17.8,25.620623643877728,35,yahoo,,False
tee higgins,Tee Higgins,WR,CIN,38.1,20.4,28.38913502175594,38,yahoo,,False
davante adams,Davante Adams,WR,LAR,39.7,11.9,18.871499603093863,25,yahoo,,False
travis etienne,Travis Etienne Jr.,RB,NO,40.1,17.5,25.294274544453323,34,yahoo,,False
jameson williams,Jameson Williams,WR,DET,41.5,6.7,12.057469294953735,16,yahoo,,False
terry mclaurin,Terry McLaurin,WR,WAS,42.4,10.2,16.762580110633174,23,yahoo,,False
dandre swift,D'Andre Swift,RB,CHI,42.4,11.6,18.50592111915671,25,yahoo,,False
rome odunze,Rome Odunze,WR,CHI,44.4,5.2,9.819396144378826,13,yahoo,,False
trey mcbride,Trey McBride,TE,ARI,45.0,31.8,39.56954689925156,54,yahoo,,False
bucky irving,Bucky Irving,RB,TB,45.4,11.8,18.749933643792314,25,yahoo,,False
ladd mcconkey,Ladd McConkey,WR,LAC,45.7,13.8,21.12981054011876,29,yahoo,,False
drake maye,Drake Maye,QB,NE,46.1,11.3,18.137648013024098,24,yahoo,,False
brock bowers,Brock Bowers,TE,LV,46.3,36.6,43.93634659120207,60,yahoo,,False
alec pierce,Alec Pierce,WR,IND,47.8,3.3,6.6463410620286645,9,yahoo,PUP-P,True
quinshon judkins,Quinshon Judkins,RB,CLE,47.8,11.3,18.137648013024098,24,yahoo,,False
dj moore,DJ Moore,WR,BUF,48.5,6.8,12.200806044197323,16,yahoo,,False
lamar jackson,Lamar Jackson,QB,BAL,49.2,17.7,25.512009906897152,35,yahoo,,False
bhayshul tuten,Bhayshul Tuten,RB,JAX,51.5,9.2,15.475003980207077,21,yahoo,,False
jaylen waddle,Jaylen Waddle,WR,DEN,51.8,13.7,21.013228939151766,28,yahoo,Q,False
courtland sutton,Courtland Sutton,WR,DEN,52.5,1.8,3.5829695669555495,5,yahoo,,False
luther burden,Luther Burden III,WR,CHI,54.7,10.6,17.26729477054704,23,yahoo,Q,False
treveyon henderson,TreVeyon Henderson,RB,NE,57.2,9.2,15.475003980207077,21,yahoo,,False
mike evans,Mike Evans,WR,SF,57.9,6.7,12.057469294953735,16,yahoo,Q,False
joe burrow,Joe Burrow,QB,CIN,58.6,10.2,16.762580110633174,23,yahoo,,False
jadarian price,Jadarian Price,RB,SEA,59.1,8.5,14.549403034242276,20,yahoo,Q,False
marvin harrison,Marvin Harrison Jr.,WR,ARI,62.1,3.5,7.005985968691076,9,yahoo,,False
