rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons
1,Bijan Robinson,RB,1,ATL,24.0,376.1,25.94,194.4,91,,51,3
2,Jahmyr Gibbs,RB,2,DET,24.0,370.5,25.55,188.8,89,,49,3
3,Jonathan Taylor,RB,3,IND,27.0,340.0,23.45,158.3,78,,41,3
4,Puka Nacua,WR,1,LA,25.0,311.1,20.74,151.8,76,Questionable,44,3
5,De'Von Achane,RB,4,MIA,24.0,333.2,22.98,151.5,76,,44,3
6,Kyren Williams,RB,5,LA,25.0,329.6,22.73,147.9,74,,45,3
7,James Cook,RB,6,BUF,26.0,304.5,21.0,122.8,65,,50,3
8,Ja'Marr Chase,WR,2,CIN,26.0,278.2,18.55,118.9,63,,49,3
9,Jaxon Smith-Njigba,WR,3,SEA,24.0,273.3,18.22,114.0,61,,51,3
10,Josh Allen,QB,1,BUF,30.0,440.4,28.41,104.8,58,,49,3
11,Amon-Ra St. Brown,WR,4,DET,26.0,263.1,17.54,103.8,57,,50,3
12,Christian McCaffrey,RB,7,SF,30.0,284.8,19.64,103.1,57,Questionable,37,3
13,Trey McBride,TE,1,ARI,26.0,225.9,15.06,98.4,55,,50,3
14,Breece Hall,RB,8,NYJ,25.0,269.3,18.57,87.6,50,Questionable,49,3
15,Brock Bowers,TE,2,LV,23.0,212.2,14.15,84.7,49,,29,2
16,Bucky Irving,RB,9,TB,24.0,260.9,17.99,79.2,47,,27,2
17,Ashton Jeanty,RB,10,LV,22.0,258.8,17.85,77.1,46,Questionable,17,1
18,Chase Brown,RB,11,CIN,26.0,257.4,17.75,75.7,45,,45,3
19,Saquon Barkley,RB,12,PHI,29.0,253.5,17.48,71.8,44,,46,3
20,Quinshon Judkins,RB,13,CLE,22.0,255.1,17.59,73.4,44,Questionable,14,1
21,Josh Jacobs,RB,14,GB,28.0,255.3,17.61,73.6,44,Questionable,45,3
22,Drake London,WR,5,ATL,25.0,232.5,15.5,73.2,44,,45,3
23,George Pickens,WR,6,DAL,25.0,228.9,15.26,69.6,43,,48,3
24,Malik Nabers,WR,7,NYG,23.0,229.2,15.28,69.9,43,Questionable,19,2
25,CeeDee Lamb,WR,8,DAL,27.0,228.0,15.2,68.7,42,,45,3
26,Brock Purdy,QB,2,SF,26.0,398.5,25.71,62.9,40,,40,3
27,Omarion Hampton,RB,15,LAC,23.0,242.6,16.73,60.9,39,,9,1
28,Javonte Williams,RB,16,DAL,26.0,242.4,16.72,60.7,39,,49,3
29,Rashee Rice,WR,9,KC,26.0,221.2,14.75,61.9,39,,28,3
30,D'Andre Swift,RB,17,CHI,27.0,240.3,16.57,58.6,38,,49,3
31,Cam Skattebo,RB,18,NYG,24.0,239.1,16.49,57.4,37,,8,1
32,Jalen Hurts,QB,3,PHI,28.0,392.9,25.35,57.3,37,,48,3
