rank,team,top3,top5,starters,full,top3_rk,top5_rk,starters_rk,full_rk,avg_rk,spread,top6,last
1,VALERIAN,985.2,1435.6,1947.5,2413.9,2,1,2,8,3.25,7,74,3
2,Ultimate Warnior,957.9,1400.2,1868.8,2454.3,4,3,4,6,4.25,3,54,4
3,Zvernal,920.7,1377.1,1894.6,2552.2,7,6,3,3,4.75,4,65,3
4,JBonez86,982.1,1379.9,1828.0,2518.5,3,5,7,4,4.75,4,53,5
5,olavegardner,1051.7,1419.1,1836.9,2192.8,1,2,6,11,5.0,10,49,7
6,DJNVRealty,884.1,1365.1,1959.2,2460.9,8,7,1,5,5.25,7,78,1
7,gaytonmanning,924.7,1384.3,1848.9,2393.7,6,4,5,9,6.0,5,54,5
8,jnozilla,863.7,1248.2,1758.1,2603.7,9,10,9,1,7.25,9,53,4
9,dwarner827,928.6,1347.6,1812.8,2305.8,5,8,8,10,7.75,5,34,9
10,Markinsoles,850.1,1245.5,1755.7,2591.2,10,11,10,2,8.25,9,41,7
11,EasyE12345,840.9,1250.0,1753.4,2421.0,11,9,11,7,9.5,4,35,11
12,teeeejayyyy,824.2,1202.6,1681.8,2012.1,12,12,12,12,12.0,0,8,41
