team,player,pos,paid,value,pts,inj,edge
gaytonmanning,Puka Nacua,WR,72,76,311.1,Questionable,4
JBonez86,Josh Jacobs,RB,56,44,255.3,Questionable,-12
dwarner827,Josh Allen,QB,45,58,440.4,,13
gaytonmanning,Ja'Marr Chase,WR,78,63,278.2,Questionable,-15
gaytonmanning,Christian McCaffrey,RB,77,57,284.8,Questionable,-20
JBonez86,Jahmyr Gibbs,RB,103,89,370.5,,-14
dwarner827,Ashton Jeanty,RB,60,46,258.8,Questionable,-14
Zvernal,Jaxon Smith-Njigba,WR,72,61,273.3,,-11
olavegardner,Jonathan Taylor,RB,80,78,340.0,,-2
EasyE12345,Travis Kelce,TE,11,1,123.9,,-10
jnozilla,A.J. Brown,WR,59,26,195.4,,-33
dwarner827,Todd Gurley,RB,2,0,0.0,,-2
olavegardner,Brock Bowers,TE,44,49,212.2,,5
EasyE12345,Brian Robinson,RB,2,0,138.9,,-2
VALERIAN,Saquon Barkley,RB,66,44,253.5,,-22
olavegardner,Bijan Robinson,RB,108,91,376.1,,-17
VALERIAN,De'Von Achane,RB,75,76,333.2,,1
Zvernal,Derrick Henry,RB,57,28,221.0,,-29
teeeejayyyy,Kenneth Walker,RB,60,26,217.2,Questionable,-34
Markinsoles,Jaylen Warren,RB,12,21,207.4,,9
JBonez86,Joe Burrow,QB,20,18,356.3,,-2
dwarner827,Brandon Aubrey,K,8,0,0.0,,-8
Ultimate Warnior,Amon-Ra St. Brown,WR,73,57,263.1,,-16
teeeejayyyy,Ladd McConkey,WR,43,22,187.0,,-21
DJNVRealty,Trey McBride,TE,38,55,225.9,,17
EasyE12345,Justin Jefferson,WR,61,25,192.9,,-36
jnozilla,Chase Brown,RB,67,45,257.4,,-22
Zvernal,Cameron Dicker,K,3,0,0.0,,-3
Zvernal,Kyren Williams,RB,47,74,329.6,,27
DJNVRealty,Breece Hall,RB,39,50,269.3,Questionable,11
Markinsoles,CeeDee Lamb,WR,56,42,228.0,,-14
dwarner827,Travis Etienne,RB,33,32,229.4,,-1
gaytonmanning,Dak Prescott,QB,10,1,328.8,,-9
Zvernal,Drake London,WR,52,44,232.5,,-8
Markinsoles,Tetairoa McMillan,WR,34,22,188.0,,-12
dwarner827,George Pickens,WR,45,43,228.9,,-2
VALERIAN,Rashee Rice,WR,39,39,221.2,,0
dwarner827,Rome Odunze,WR,24,11,170.2,,-13
JBonez86,De'Zhaun Stribling,WR,16,0,0.0,Questionable,-16
EasyE12345,Nico Collins,WR,49,37,216.0,,-12
Markinsoles,TreVeyon Henderson,RB,21,32,229.2,Questionable,11
jnozilla,Cam Skattebo,RB,31,37,239.1,,6
Ultimate Warnior,Omarion Hampton,RB,61,39,242.6,,-22
Markinsoles,Bhayshul Tuten,RB,22,1,154.4,,-21
EasyE12345,David Montgomery,RB,28,6,185.6,,-22
VALERIAN,Denver Broncos,DEF,3,0,0.0,,-3
JBonez86,Jameson Williams,WR,18,28,197.8,,10
Ultimate Warnior,James Cook,RB,84,65,304.5,,-19
EasyE12345,Chris Olave,WR,36,33,207.8,,-3
Markinsoles,Lamar Jackson,QB,25,28,373.9,,3
DJNVRealty,Colston Loveland,TE,26,16,145.4,,-10
Markinsoles,Jeremiyah Love,RB,42,0,0.0,Questionable,-42
Markinsoles,Terry McLaurin,WR,20,10,167.7,,-10
VALERIAN,Malik Nabers,WR,30,43,229.2,Questionable,13
teeeejayyyy,D'Andre Swift,RB,30,38,240.3,,8
VALERIAN,Tank Dell,WR,2,0,0.0,Questionable,-2
dwarner827,Tucker Kraft,TE,17,29,168.0,Questionable,12
VALERIAN,George Kittle,TE,11,31,171.9,Questionable,20
dwarner827,Los Angeles Rams,DEF,7,0,0.0,,-7
teeeejayyyy,Tyler Warren,TE,17,20,152.1,Questionable,3
DJNVRealty,DeVonta Smith,WR,25,16,176.5,,-9
EasyE12345,Javonte Williams,RB,31,39,242.4,,8
EasyE12345,Drake Maye,QB,15,32,382.5,,17
jnozilla,Emeka Egbuka,WR,19,13,173.0,Questionable,-6
JBonez86,RJ Harvey,RB,6,16,200.0,,10
DJNVRealty,Bucky Irving,RB,18,47,260.9,,29
teeeejayyyy,Jadarian Price,RB,16,0,0.0,,-16
DJNVRealty,Tee Higgins,WR,18,29,200.1,,11
VALERIAN,Marvin Harrison,WR,12,13,172.8,,1
JBonez86,Jake Ferguson,TE,5,1,127.6,,-4
jnozilla,Parker Washington,WR,14,1,157.0,,-13
DJNVRealty,Zay Flowers,WR,16,30,202.8,Questionable,14
teeeejayyyy,Jaylen Waddle,WR,23,10,167.8,,-13
Markinsoles,Jalen Hurts,QB,5,37,392.9,,32
JBonez86,Jaxson Dart,QB,2,5,338.7,,3
teeeejayyyy,DJ Moore,WR,11,1,159.3,,-10
DJNVRealty,Davante Adams,WR,10,18,179.8,,8
DJNVRealty,Garrett Wilson,WR,10,24,191.2,,14
teeeejayyyy,Justin Herbert,QB,6,1,330.3,,-5
DJNVRealty,Jonathon Brooks,RB,10,0,0.0,,-10
olavegardner,Carnell Tate,WR,8,0,0.0,,-8
