key,name,position,team,adp,raw_200,aav_200,market,source,status,out
jahmyr gibbs,Jahmyr Gibbs,RB,DET,1.5,72.5,72.3514059492663,92,curve,,False
bijan robinson,Bijan Robinson,RB,ATL,2.3,70.1,69.6046428595489,88,curve,,False
puka nacua,Puka Nacua,WR,LAR,3.1,67.7,66.87213513548376,85,curve,,False
jamarr chase,Ja'Marr Chase,WR,CIN,3.9,65.3,64.15431789378623,81,curve,,False
jaxon smith njigba,Jaxon Smith-Njigba,WR,SEA,5.1,61.84,60.26293357241343,76,curve,,False
jonathan taylor,Jonathan Taylor,RB,IND,6.0,60.4,58.653037388213846,74,curve,,False
christian mccaffrey,Christian McCaffrey,RB,SF,6.5,59.6,57.76116449565799,73,curve,,False
amon ra st brown,Amon-Ra St. Brown,WR,DET,7.9,57.36,55.27368189393042,70,curve,,False
james cook,James Cook III,RB,BUF,9.3,55.12,52.80096733994502,67,curve,,False
derrick henry,Derrick Henry,RB,BAL,9.7,54.480000000000004,52.0972615169362,66,curve,,False
devon achane,De'Von Achane,RB,MIA,11.8,51.839999999999996,49.20794123469816,62,curve,,False
drake london,Drake London,WR,ATL,12.4,51.12,48.42378970847265,61,curve,,False
ceedee lamb,CeeDee Lamb,WR,DAL,12.5,51.0,48.293261103368785,61,curve,,False
justin jefferson,Justin Jefferson,WR,MIN,14.4,48.72,45.822242955313094,58,curve,,False
ashton jeanty,Ashton Jeanty,RB,LV,14.8,48.24,45.304250597056516,57,curve,,False
rashee rice,Rashee Rice,WR,KC,15.1,47.88,44.91627293403655,57,curve,,False
chase brown,Chase Brown,RB,CIN,15.3,47.64,44.65786876400651,56,curve,,False
saquon barkley,Saquon Barkley,RB,PHI,17.6,44.879999999999995,41.70075605474166,53,curve,,False
nico collins,Nico Collins,WR,HOU,19.2,42.96,39.659907954160275,50,curve,,False
george pickens,George Pickens,WR,DAL,19.9,42.120000000000005,38.77138949159046,49,curve,,False
aj brown,A.J. Brown,WR,NE,20.0,42.0,38.64467879312795,49,curve,,False
kenneth walker,Kenneth Walker,RB,KC,20.9,40.92,37.50679849709021,47,curve,,False
