season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2023,ARI,REG,17,355,555,3430,18,12,42,-286,8,4,4186,1669,173,-100.876419517107,-2.51293214107001,1,140,66,38,3,471,2365,17,8,1,127,18.6624539748252,3,71,52,23,5,355,540,3430,18,2,0,4186,1669,173,-9.63339648187834,1,140,66,38,3,0,605,126,420,64,288,6,33,233,59,11,98,66,0,1,0,0,13,-37,6,4,1,101,859,62,12,9,2,21,6,31,286,18,382,28,33,5,0,62,0.848484848484848,0,6,7,6,8,1,0,0,1,1,3,0,28;54;37;37;44;39;43;62;38;55;32;27;44;47;51;46;56;23;57;51;58;43;28;55;28;34;23;34,55;34;56;43;51,,1174,239,0,22,23,1,0,0.956521739130435,1,2,1,0,23;51,64,0,77,3172,13,3,10,3,12,36,366,0,2746
2023,ATL,REG,17,327,530,3775,17,17,40,-251,6,4,4345,1769,181,-42.981411141401,-3.29870112005651,2,150,76,46,10,522,2159,14,13,6,121,-64.3000338063671,0,61,42,11,0,327,508,3775,17,2,1,4345,1769,181,33.9646472875122,2,150,76,46,10,0,589,117,443,56,251,19,42,258,98,8,124,66,1,2,1,96,10,-28,8,19,0,84,743,67,13,11,4,24,11,33,239,14,236,32,37,5,0,54,0.864864864864865,0,10,10,9,3,0,0,0,0,2,3,0,49;24;33;39;25;48;24;33;37;47;24;41;51;29;49;39;52;43;23;54;36;39;22;42;20;23;47;41;35;25;38;30,47;50;52;50;42,,1162,241,0,27,28,1,0,0.964285714285714,2,2,0,0,37;51,75,0,66,3523,27,12,5,3,24,31,353,0,3110
2023,BAL,REG,17,328,494,3881,27,7,41,-246,6,4,4089,1827,180,62.872043105127,2.69918659968036,1,160,80,52,9,541,2661,26,7,5,144,6.80618804159325,1,70,47,21,4,328,476,3881,27,6,3,4089,1827,180,145.445413653943,1,160,80,52,9,1,616,111,379,77,419,16,58,435,117,18,258,92,1,0,1,0,8,-33,13,51,0,102,955,63,15,8,3,23,12,29,417,13,319,32,37,4,1,50,0.864864864864865,0,10,10,11,1,0,0,0,0,1,2,1,39;44;40;50;23;41;28;23;29;20;36;32;48;37;45;31;37;25;47;42;48;31;47;33;43;26;34;28;41;28;24;36,59;61;53;44,55,1136,217,55,51,52,0,1,0.980769230769231,0,0,0,0,,66,1,67,3158,28,8,4,5,17,32,433,1,2625
2023,BUF,REG,17,385,579,4306,29,18,24,-152,2,1,5022,1973,199,91.6927982197074,5.02360811474126,3,164,82,49,9,512,2212,22,8,4,158,34.2025969699336,0,60,39,9,1,385,545,4306,29,6,4,5022,1973,199,138.121571573419,3,164,82,49,9,1,600,118,336,80,346,14,53,328,117,18,148,79,2,3,0,0,7,-4,12,7,0,106,883,73,15,5,3,20,10,31,360,17,349,24,29,4,1,54,0.827586206896552,0,4,12,4,4,0,0,0,0,2,2,0,40;34;50;29;36;54;32;53;33;36;37;34;48;30;33;50;48;40;31;39;23;29;35;24,52;53;42;48,34,898,195,34,49,50,1,0,0.98,1,1,0,0,29,51,0,70,2334,24,5,7,3,17,19,237,1,2037
2023,CAR,REG,17,350,586,3245,13,10,65,-504,9,6,4482,1439,150,-156.666200685222,-1.81397098615375,1,122,53,31,5,445,1769,7,5,3,111,-33.2429146135201,2,48,34,9,1,350,534,3245,13,7,1,4482,1439,150,11.7966401548343,1,122,53,31,5,1,542,107,435,55,289,5,27,193,74,8,203,64,2,2,0,0,11,0,3,5,0,103,845,69,18,6,3,24,10,37,322,24,637,25,30,5,0,56,0.833333333333333,0,6,7,7,5,0,0,0,0,2,3,0,43;52;54;36;47;44;26;56;33;46;37;23;35;49;33;39;42;50;23;47;29;34;25;23;52,55;43;59;41;52,,978,250,0,17,20,3,0,0.85,2,2,0,0,23;23,82,0,69,3838,25,6,14,5,26,31,210,0,3528
2023,CHI,REG,17,321,513,3421,19,15,50,-325,10,5,3775,1722,169,-64.649650498153,-0.140334559561571,0,131,68,48,5,534,2399,16,5,1,137,20.4036761213203,1,74,45,13,0,321,477,3421,19,4,3,3775,1722,169,47.1258787791093,0,131,68,48,5,0,581,111,375,57,206,13,30,202,92,22,245,83,2,3,0,0,10,-8,6,0,0,99,853,47,18,6,4,24,10,23,188,23,543,35,38,3,0,55,0.921052631578947,0,9,11,8,7,0,0,0,0,2,1,0,47;29;52;21;22;36;43;37;22;53;54;31;54;36;39;31;53;40;39;25;39;55;30;46;25;28;41;49;29;22;42;42;50;39;35,40;48;55,,1336,143,0,31,33,0,2,0.939393939393939,1,1,0,0,30,67,0,76,3088,18,6,10,8,13,30,381,1,2547
2023,CIN,REG,17,420,615,4257,27,14,50,-362,5,1,3878,2368,208,13.3017347931429,2.12535151859393,1,163,67,46,10,383,1527,12,1,0,90,-24.6862692782678,0,43,30,7,1,420,592,4257,27,3,1,3878,2368,208,115.474441949728,1,163,67,46,10,1,588,112,412,60,273,11,44,257,110,17,152,74,1,1,0,0,7,0,9,28,0,76,614,69,10,0,1,10,2,34,346,17,387,26,31,5,0,56,0.838709677419355,0,5,6,8,7,0,0,0,0,0,5,0,42;27;49;53;48;54;21;40;40;52;56;20;50;31;50;26;47;54;48;32;35;34;29;35;34;45,51;56;50;53;57,,1052,267,0,40,40,0,0,1.0,2,2,0,0,48;29,76,0,62,3318,20,8,8,5,26,29,203,0,3015
2023,CLE,REG,17,355,624,4011,24,23,45,-318,10,4,5299,1853,173,-104.953820468675,-5.82913059235817,1,146,78,53,15,518,2017,15,8,5,121,-47.8716295797558,5,54,39,9,3,355,597,4011,24,5,4,5299,1853,173,-22.4349225285508,1,146,78,53,15,0,598,103,297,88,423,14,48,341,109,18,135,92,2,3,0,46,11,-26,10,15,1,115,897,68,17,10,2,27,14,41,343,11,261,34,37,3,0,58,0.918918918918919,0,8,8,10,8,0,0,0,0,3,0,0,42;34;43;43;55;48;52;53;42;46;50;29;44;54;54;58;25;27;30;45;36;28;23;40;25;34;36;24;40;24;55;33;34;33,43;47;48,,1339,138,0,30,33,3,0,0.909090909090909,2,2,0,0,40;34,90,0,73,4449,31,13,7,9,16,45,450,0,3819
2023,DAL,REG,17,428,614,4660,36,10,40,-263,2,1,4794,2043,229,116.608117040543,4.04739133828928,3,185,92,64,7,468,1920,14,3,2,113,-5.5100519154949,1,46,34,12,1,428,605,4660,36,6,2,4794,2043,229,186.596765903366,3,185,92,64,7,1,549,110,386,73,353,14,45,296,99,17,249,74,5,1,1,58,6,-1,9,8,1,115,964,60,10,3,2,13,6,18,98,18,393,36,38,1,1,60,0.947368421052632,0,9,13,4,9,1,0,0,1,0,0,0,21;38;35;21;55;26;30;49;27;26;23;23;33;50;32;39;58;27;51;30;27;52;30;31;38;32;60;59;45;50;32;43;33;51;43;50,36,32,1370,36,32,49,52,3,0,0.942307692307692,0,0,0,0,,44,0,63,2262,17,2,3,2,13,24,247,0,1975
2023,DEN,REG,17,337,513,3566,28,9,52,-304,7,4,3754,2069,154,-10.1237763281633,3.73981759045859,2,130,67,44,13,451,1810,8,5,2,116,-34.8493821309655,2,54,35,9,0,337,477,3566,28,7,5,3754,2067,154,90.0617131855413,2,130,67,44,13,1,601,122,400,58,265,19,42,330,100,11,85,62,0,1,1,-1,4,-14,15,60,1,99,749,79,17,4,4,21,13,20,326,16,398,30,34,3,1,52,0.882352941176471,0,11,12,4,3,0,0,0,0,1,2,0,24;31;32;31;25;51;23;22;32;29;35;52;28;40;49;40;36;31;31;52;37;28;23;34;34;23;23;32;43;20,55;57;48,38,991,160,38,29,31,2,0,0.935483870967742,1,1,0,0,36,79,0,68,3659,27,7,8,6,27,31,195,0,3344
