name,position,aav_200,status
Jahmyr Gibbs,RB,73.3,Q
Bijan Robinson,RB,72.3,
Christian McCaffrey,RB,61.0,Q
Jonathan Taylor,RB,58.3,
James Cook III,RB,53.4,
Ashton Jeanty,RB,47.8,
Saquon Barkley,RB,46.7,
Chase Brown,RB,44.9,
De'Von Achane,RB,43.6,
Omarion Hampton,RB,43.5,
Kenneth Walker III,RB,40.4,
Derrick Henry,RB,37.4,
Jeremiyah Love,RB,30.3,
Josh Jacobs,RB,25.8,Q
Kyren Williams,RB,25.1,
Javonte Williams,RB,22.1,
Breece Hall,RB,20.1,
Travis Etienne Jr.,RB,17.5,
Cam Skattebo,RB,16.7,
David Montgomery,RB,11.9,
Bucky Irving,RB,11.8,
D'Andre Swift,RB,11.6,
Quinshon Judkins,RB,11.3,
Bhayshul Tuten,RB,9.2,
TreVeyon Henderson,RB,9.2,
Jadarian Price,RB,8.5,Q
Chuba Hubbard,RB,5.4,
Jaylen Warren,RB,4.1,
Tony Pollard,RB,3.6,
Rico Dowdle,RB,3.5,
Rhamondre Stevenson,RB,3.3,
Jonathon Brooks,RB,3.2,
Blake Corum,RB,2.8,
RJ Harvey,RB,2.6,
Kyle Monangai,RB,2.6,
J.K. Dobbins,RB,2.4,
Zach Charbonnet,RB,1.9,PUP-P
Jordan Mason,RB,1.8,
Kenny Gainwell,RB,1.8,
Aaron Jones Sr.,RB,1.8,
Rachaad White,RB,1.7,
Jacory Croskey-Merritt,RB,1.5,
Chris Rodriguez Jr.,RB,1.2,
Tyrone Tracy Jr.,RB,1.2,
Keaton Mitchell,RB,1.1,
Tyler Allgeier,RB,1.1,
Tank Bigsby,RB,1.1,
Woody Marks,RB,1.1,
Ja'Marr Chase,WR,65.5,
Puka Nacua,WR,62.8,Q
Jaxon Smith-Njigba,WR,59.9,
Amon-Ra St. Brown,WR,55.5,
CeeDee Lamb,WR,52.8,
Justin Jefferson,WR,48.5,
Drake London,WR,40.7,
Nico Collins,WR,36.4,
George Pickens,WR,32.0,
A.J. Brown,WR,29.2,
Malik Nabers,WR,24.9,Q
DeVonta Smith,WR,24.3,Q
Rashee Rice,WR,24.2,
Chris Olave,WR,24.0,
Tee Higgins,WR,20.4,
Tetairoa McMillan,WR,17.8,
Zay Flowers,WR,16.4,Q
Garrett Wilson,WR,14.0,
Ladd McConkey,WR,13.8,
Jaylen Waddle,WR,13.7,Q
Emeka Egbuka,WR,13.7,Q
Davante Adams,WR,11.9,
Luther Burden III,WR,10.6,Q
Terry McLaurin,WR,10.2,
DJ Moore,WR,6.8,
Mike Evans,WR,6.7,Q
Jameson Williams,WR,6.7,
Christian Watson,WR,5.6,
Rome Odunze,WR,5.2,
Carnell Tate,WR,3.6,
Marvin Harrison Jr.,WR,3.5,
Alec Pierce,WR,3.3,PUP-P
Brian Thomas Jr.,WR,2.7,
DK Metcalf,WR,2.4,Q
Parker Washington,WR,2.2,
Jordyn Tyson,WR,2.2,
Chris Godwin Jr.,WR,1.9,
Courtland Sutton,WR,1.8,
Michael Wilson,WR,1.7,
Stefon Diggs,WR,1.7,
Makai Lemon,WR,1.7,Q
Quentin Johnston,WR,1.4,
Josh Downs,WR,1.3,Q
Michael Pittman Jr.,WR,1.3,Q
Jayden Reed,WR,1.2,
Jordan Addison,WR,1.1,Q
Josh Allen,QB,31.7,
Lamar Jackson,QB,17.7,
Drake Maye,QB,11.3,
Joe Burrow,QB,10.2,
Justin Herbert,QB,3.9,
Jayden Daniels,QB,7.3,
Jalen Hurts,QB,6.4,
Caleb Williams,QB,3.4,
Dak Prescott,QB,3.4,
Jaxson Dart,QB,3.3,
Trevor Lawrence,QB,2.5,
Patrick Mahomes,QB,2.3,Q
Matthew Stafford,QB,1.8,
Brock Purdy,QB,1.4,
Bo Nix,QB,1.4,
Jared Goff,QB,1.4,
Kyler Murray,QB,1.3,
Cam Ward,QB,1.3,
Tyler Shough,QB,1.2,
Sam Darnold,QB,1.2,
Jordan Love,QB,1.1,
Malik Willis,QB,1.1,
Baker Mayfield,QB,1.1,
C.J. Stroud,QB,1.1,
Daniel Jones,QB,1.0,
Brock Bowers,TE,36.6,
Trey McBride,TE,31.8,
Colston Loveland,TE,18.1,
Tyler Warren,TE,12.5,
Tucker Kraft,TE,6.0,Q
Sam LaPorta,TE,4.4,
Harold Fannin Jr.,TE,3.7,
Kyle Pitts Sr.,TE,3.4,
George Kittle,TE,2.7,PUP-P
Travis Kelce,TE,2.2,
Isaiah Likely,TE,1.7,
Dalton Kincaid,TE,1.3,
Dallas Goedert,TE,1.3,
